backen (Dat) Akk	backt / bäckt	backte / buk	hat gebacken
befehlen Dat Akk / Inf.	befiehlt	befahl	hat befohlen
beginnen mit / Inf.	beginnt	begann	hat begonnen
beißen Akk	beißt	biss	hat gebissen
bergen Akk	birgt	barg	hat geborgen
betrügen Akk	betrügt	betrog	hat betrogen
biegen Akk	biegt	bog	hat gebogen
bieten Dat Akk	bietet	bot	hat geboten
binden Akk	bindet	band	hat gebunden
bitten Akk	bittet	bat	hat gebeten
blasen	bläst	blies	hat geblasen
bleiben Situativ-Erg.	bleibt	blieb	ist geblieben
braten (Dat) Akk	brät	briet	hat gebraten
brechen (Dat) Akk	bricht	brach	hat gebrochen
brennen	brennt	brannte	hat gebrannt
bringen Dat Akk	bringt	brachte	hat gebracht
denken an / über	denkt	dachte	hat gedacht
ein|dringen in + Akk	dringt ... ein	drang ... ein	ist eingedrungen
empfangen Akk	empfängt	empfing	hat empfangen
empfehlen Dat Akk / Inf.	empfiehlt	empfahl	hat empfohlen
empfinden Akk	empfindet	empfand	hat empfunden
erlöschen	erlischt	erlosch	ist erloschen
erschrecken (intr.)	erschrickt	erschrak	ist erschrocken
erwägen Akk / Inf.	erwägt	erwog	hat erwogen
essen Akk	isst	aß	hat gegessen
fahren Dir.-Erg./(Akk)/mit	fährt	fuhr	ist (hat) gefahren
fallen (Dir.-Erg.)	fällt	fiel	ist gefallen
fangen Akk	fängt	fing	hat gefangen
finden Akk	findet	fand	hat gefunden
fliegen (Dir.-Erg.) / (Akk)	fliegt	flog	ist / (hat) geflogen
fliehen vor	flieht	floh	ist geflohen
fließen Dir.-Erg.	fließt	floss	ist geflossen
fressen Akk	frisst	fraß	hat gefressen
frieren Akk	friert	fror	hat gefroren
gebären Akk	gebärt (gebiert)	gebar	(ist) hat geboren
geben Dat Akk	gibt	gab	hat gegeben
gedeihen	gedeiht	gedieh	ist gediehen
gehen Dir.-Erg.	geht	ging	ist gegangen
gelingen Dat (Inf.)	gelingt	gelang	ist gelungen
gelten	gilt	galt	hat gegolten
genießen Akk (Inf.)	genießt	genoss	hat genossen
geraten in + Akk	gerät	geriet	ist geraten
geschehen Dat Akk	geschieht	geschah	ist geschehen
gewinnen (Akk)	gewinnt	gewann	hat gewonnen
gießen Akk	gießt	goss	hat gegossen
gleichen Dat	gleicht	glich	hat geglichen
gleiten	gleitet	glitt	ist geglitten
graben Akk	gräbt	grub	hat gegraben
greifen (Dat) Akk	greift	griff	hat gegriffen
haben Akk	hat	hatte	hat gehabt
halten Akk	hält	hielt	hat gehalten
